"date","geography","geography code","Household Composition: All categories: Household composition; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 1 bedroom; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 2 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 3 bedrooms; measures: Value","Household Composition: All categories: Household composition; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One person household; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 1 bedroom; measures: Value","Household Composition: One person household; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One person household; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Total; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Total; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: All aged 65 and over; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Married, same-sex civil partnership or cohabiting couple; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 1 bedroom; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 2 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 3 bedrooms; measures: Value","Household Composition: One family only: Lone parent; Bedrooms: 4 or more bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: All categories: Number of bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 1 bedroom; measures: Value","Household Composition: Other household types; Bedrooms: 2 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 3 bedrooms; measures: Value","Household Composition: Other household types; Bedrooms: 4 or more bedrooms; measures: Value"
"2011","E00105487","E00105487",113,10,41,55,7,34,8,11,14,1,74,2,29,38,5,14,1,6,6,1,41,1,12,25,3,19,0,11,7,1,5,0,1,3,1
"2011","E00105489","E00105489",124,0,38,77,9,39,0,14,24,1,78,0,24,49,5,18,0,9,9,0,44,0,10,30,4,16,0,5,10,1,7,0,0,4,3
"2011","E00105490","E00105490",144,1,17,97,29,37,1,8,26,2,104,0,7,70,27,10,0,2,8,0,84,0,5,52,27,10,0,0,10,0,3,0,2,1,0
"2011","E00105491","E00105491",85,5,32,36,12,31,3,18,10,0,51,1,14,24,12,4,0,1,2,1,38,1,13,15,9,9,0,0,7,2,3,1,0,2,0
"2011","E00105492","E00105492",122,38,46,35,3,55,31,16,8,0,59,6,29,21,3,5,2,1,2,0,35,4,16,12,3,19,0,12,7,0,8,1,1,6,0
"2011","E00105510","E00105510",111,10,37,55,9,47,6,19,21,1,58,4,17,31,6,9,2,2,5,0,41,2,10,23,6,8,0,5,3,0,6,0,1,3,2
"2011","E00105511","E00105511",194,4,50,101,39,45,4,19,17,5,139,0,28,80,31,13,0,4,9,0,109,0,21,59,29,17,0,3,12,2,10,0,3,4,3
"2011","E00105512","E00105512",162,1,48,68,45,39,1,20,14,4,117,0,27,51,39,11,0,8,3,0,95,0,14,44,37,11,0,5,4,2,6,0,1,3,2
"2011","E00105513","E00105513",141,20,53,55,13,55,15,20,16,4,77,5,29,36,7,12,1,7,4,0,41,3,13,19,6,24,1,9,13,1,9,0,4,3,2
"2011","E00105403","E00105403",73,2,9,45,17,20,2,4,9,5,50,0,4,34,12,9,0,0,7,2,35,0,4,22,9,6,0,0,5,1,3,0,1,2,0
"2011","E00105404","E00105404",120,3,25,40,52,22,2,7,3,10,88,1,18,34,35,12,0,5,3,4,68,1,12,25,30,8,0,1,6,1,10,0,0,3,7
"2011","E00105405","E00105405",117,1,31,57,28,30,1,10,15,4,84,0,21,41,22,15,0,7,5,3,65,0,13,33,19,4,0,1,3,0,3,0,0,1,2
"2011","E00105406","E00105406",109,0,47,56,6,37,0,22,15,0,70,0,24,41,5,10,0,6,4,0,53,0,16,33,4,7,0,2,4,1,2,0,1,0,1
"2011","E00105407","E00105407",117,13,50,43,11,40,11,18,10,1,74,2,32,31,9,6,0,4,1,1,51,2,18,25,6,17,0,10,5,2,3,0,0,2,1
"2011","E00105408","E00105408",54,1,12,22,19,15,0,4,7,4,33,1,6,13,13,5,0,0,1,4,26,1,5,12,8,2,0,1,0,1,6,0,2,2,2
"2011","E00171805","E00171805",131,4,16,38,73,24,3,7,6,8,101,0,9,30,62,11,0,1,3,7,83,0,7,25,51,7,0,1,2,4,6,1,0,2,3
"2011","E00171806","E00171806",133,7,32,52,42,39,3,17,14,5,86,4,13,36,33,12,0,2,6,4,64,4,9,26,25,10,0,2,4,4,8,0,2,2,4
"2011","E00105514","E00105514",135,4,14,101,16,33,3,6,23,1,96,1,7,75,13,10,0,1,9,0,69,0,4,54,11,17,1,2,12,2,6,0,1,3,2
"2011","E00105520","E00105520",118,21,57,35,5,51,15,26,10,0,65,6,30,24,5,11,2,7,2,0,42,3,15,20,4,12,1,8,2,1,2,0,1,1,0
"2011","E00105521","E00105521",122,16,52,50,4,44,14,19,10,1,71,2,32,34,3,7,0,3,4,0,40,1,16,20,3,24,1,13,10,0,7,0,1,6,0
"2011","E00105522","E00105522",132,4,74,44,10,44,4,26,11,3,81,0,45,30,6,10,0,7,3,0,52,0,29,20,3,19,0,9,7,3,7,0,3,3,1
"2011","E00105524","E00105524",124,4,44,71,5,31,4,14,12,1,89,0,29,56,4,6,0,3,3,0,65,0,17,44,4,18,0,9,9,0,4,0,1,3,0
"2011","E00105525","E00105525",131,31,40,58,2,51,25,14,12,0,77,6,25,44,2,7,3,2,2,0,52,3,13,34,2,18,0,10,8,0,3,0,1,2,0
"2011","E00105515","E00105515",125,0,26,77,22,26,0,8,15,3,96,0,17,62,17,16,0,4,11,1,73,0,10,48,15,7,0,3,3,1,3,0,1,0,2
"2011","E00105517","E00105517",204,3,34,105,62,32,2,9,15,6,163,1,24,85,53,7,0,1,4,2,129,1,11,71,46,27,0,12,10,5,9,0,1,5,3
"2011","E00105518","E00105518",150,1,16,101,32,27,0,3,22,2,119,1,13,75,30,13,0,5,8,0,93,1,7,59,26,13,0,1,8,4,4,0,0,4,0
"2011","E00105519","E00105519",132,15,35,57,25,40,11,18,9,2,89,4,15,47,23,16,3,6,7,0,61,1,8,34,18,12,0,1,6,5,3,0,2,1,0
"2011","E00105523","E00105523",127,19,48,54,6,48,15,19,14,0,77,4,29,38,6,18,4,7,6,1,49,0,16,28,5,10,0,6,4,0,2,0,0,2,0
"2011","E00105505","E00105505",118,6,26,63,23,37,4,13,19,1,77,2,11,43,21,10,1,0,9,0,54,1,6,28,19,13,0,5,6,2,4,0,2,1,1
"2011","E00105506","E00105506",79,5,45,24,5,39,5,27,7,0,36,0,17,16,3,2,0,1,1,0,18,0,9,6,3,16,0,7,9,0,4,0,1,1,2
"2011","E00105507","E00105507",103,2,48,44,9,30,1,21,8,0,68,1,26,33,8,9,0,4,3,2,40,1,15,21,3,19,0,7,9,3,5,0,1,3,1
"2011","E00105508","E00105508",63,1,6,32,24,14,0,2,9,3,46,1,3,22,20,8,0,2,5,1,35,1,0,15,19,3,0,1,2,0,3,0,1,1,1
"2011","E00105509","E00105509",125,1,44,72,8,40,0,19,21,0,78,1,25,47,5,7,0,3,4,0,48,1,15,27,5,23,0,7,16,0,7,0,0,4,3
"2011","E00171873","E00171873",145,0,24,61,60,28,0,4,16,8,107,0,19,42,46,0,0,0,0,0,93,0,15,34,44,14,0,4,8,2,10,0,1,3,6
"2011","E00171878","E00171878",126,2,42,63,19,32,2,13,15,2,85,0,26,47,12,11,0,2,8,1,56,0,20,27,9,18,0,4,12,2,9,0,3,1,5
"2011","E00105642","E00105642",136,0,4,57,75,10,0,1,4,5,120,0,3,51,66,6,0,1,1,4,105,0,2,45,58,9,0,0,5,4,6,0,0,2,4
"2011","E00105648","E00105648",138,1,57,68,12,45,1,28,12,4,89,0,29,53,7,9,0,3,6,0,70,0,20,44,6,10,0,6,3,1,4,0,0,3,1
