"date","geography","geography code","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"2011","E00061925","E00061925","Total",121,16,6,10,94,4,35,15,14,6,21,3,16,2,34,25,9,11,6,0,0,5
"2011","E00061927","E00061927","Total",129,32,16,16,85,12,41,15,22,4,10,6,4,0,22,14,8,12,5,0,0,7
"2011","E00061928","E00061928","Total",129,20,7,13,98,8,62,22,30,10,11,6,2,3,17,10,7,11,4,0,0,7
"2011","E00061915","E00061915","Total",123,16,6,10,99,10,52,13,27,12,21,9,10,2,16,12,4,8,8,0,0,0
"2011","E00061917","E00061917","Total",121,25,11,14,91,4,56,18,22,16,16,8,6,2,15,12,3,5,5,0,0,0
"2011","E00061918","E00061918","Total",116,22,11,11,88,5,60,20,21,19,7,2,5,0,16,12,4,6,5,0,0,1
"2011","E00061920","E00061920","Total",144,29,3,26,109,4,66,20,37,9,26,6,17,3,13,10,3,6,3,0,1,2
"2011","E00061933","E00061933","Total",133,21,5,16,108,5,61,20,25,16,24,7,15,2,18,9,9,4,0,0,2,2
"2011","E00061916","E00061916","Total",129,22,9,13,104,12,66,26,30,10,13,5,7,1,13,7,6,3,3,0,0,0
"2011","E00061921","E00061921","Total",121,41,21,20,73,5,34,19,12,3,15,11,4,0,19,12,7,7,4,0,0,3
"2011","E00061930","E00061930","Total",132,21,13,8,103,22,58,22,24,12,15,5,8,2,8,1,7,8,2,0,1,5
"2011","E00061931","E00061931","Total",133,26,14,12,100,8,51,19,26,6,25,6,16,3,16,13,3,7,3,0,0,4
"2011","E00061932","E00061932","Total",134,44,36,8,77,29,32,13,13,6,3,1,2,0,13,3,10,13,2,0,2,9
"2011","E00061919","E00061919","Total",139,58,36,22,76,9,33,21,8,4,11,3,8,0,23,17,6,5,2,0,1,2
"2011","E00061922","E00061922","Total",112,49,24,25,57,4,19,5,8,6,13,7,5,1,21,18,3,6,3,0,1,2
"2011","E00061924","E00061924","Total",127,63,47,16,61,17,34,18,11,5,1,1,0,0,9,6,3,3,1,0,1,1
"2011","E00061926","E00061926","Total",130,22,8,14,96,2,38,15,19,4,23,6,15,2,33,22,11,12,6,0,0,6
"2011","E00061929","E00061929","Total",134,88,41,47,46,5,22,8,11,3,11,5,6,0,8,7,1,0,0,0,0,0
"2011","E00061797","E00061797","Total",131,31,24,7,96,35,51,16,24,11,4,1,2,1,6,4,2,4,3,0,0,1
"2011","E00061805","E00061805","Total",128,30,23,7,92,35,48,23,14,11,5,1,3,1,4,2,2,6,3,0,1,2
"2011","E00061806","E00061806","Total",132,36,25,11,94,44,41,20,13,8,2,1,1,0,7,2,5,2,1,0,0,1
"2011","E00061807","E00061807","Total",126,27,18,9,94,26,57,23,22,12,7,4,3,0,4,3,1,5,3,0,0,2
"2011","E00061809","E00061809","Total",129,41,26,15,79,22,48,28,11,9,5,4,0,1,4,2,2,9,3,0,3,3
"2011","E00061872","E00061872","Total",73,15,2,13,53,7,36,11,20,5,7,5,2,0,3,1,2,5,2,1,0,2
"2011","E00061873","E00061873","Total",115,28,11,17,85,15,55,20,25,10,10,5,3,2,5,1,4,2,1,0,0,1
