"date","geography","geography code","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"2011","UB - Southall","UB - Southall","Total",371969,28527,14777,8998,23240,4822,9914,11198,31037,32126,85593,64662,15698,21964,14328,3378,1707,35.0,33.0
"2011","W - London W","W - London W","Total",533706,34812,16697,10043,23976,4698,9301,10125,40749,63298,153667,88942,22459,30134,17735,4528,2542,36.0,34.0
"2011","WA - Warrington","WA - Warrington","Total",616180,38144,21464,13683,36992,7811,15875,14165,35305,36994,125490,127473,40309,56418,33723,8264,4070,39.9,40.0
"2011","WC - London WC","WC - London WC","Total",35995,1373,867,495,1037,165,436,2607,6287,4306,8465,5090,1416,1877,1190,259,125,34.7,30.0
"2011","WD - Watford","WD - Watford","Total",255988,17903,9610,6029,15927,3318,6623,5499,14214,17551,57670,50262,13658,19062,13029,3642,1991,38.3,38.0
"2011","WF - Wakefield","WF - Wakefield","Total",512657,33045,18695,11606,31319,6789,13368,12327,31504,33644,104399,102346,31899,45164,26752,6575,3225,39.2,39.0
"2011","WN - Wigan","WN - Wigan","Total",308483,19123,10871,6690,18177,3980,7962,7364,18777,19269,62952,61851,20705,29914,15598,3575,1675,39.7,40.0
"2011","WR - Worcester","WR - Worcester","Total",287414,15281,9184,5929,16465,3539,7290,7106,15809,15313,54043,59901,20417,30188,18874,5321,2754,42.1,43.0
"2011","WS - Walsall","WS - Walsall","Total",449687,28855,16590,10480,28089,5906,11946,11105,27984,28198,89347,87116,27325,42698,24987,6108,2953,39.4,40.0
"2011","WV - Wolverhampton","WV - Wolverhampton","Total",395857,24542,13678,8508,23449,4997,10432,10308,26819,25972,78814,76647,22883,36240,23721,5963,2884,39.7,39.0
"2011","YO - York","YO - York","Total",562439,28919,16575,10648,30123,6627,13321,16054,37747,31178,101270,115823,40989,60007,37808,10059,5291,42.2,43.0
"2011","CF - Cardiff","CF - Cardiff","Total",1005334,62158,33648,21202,58408,12116,24955,30372,79919,71226,198997,193172,59898,85350,52879,14205,6829,38.9,38.0
"2011","LD - Llandrindod Wells","LD - Llandrindod Wells","Total",49792,2365,1418,999,2940,641,1350,1035,2321,2203,7886,10635,4115,6392,3878,1039,575,44.5,47.0
"2011","LL - Llandudno","LL - Llandudno","Total",537467,30817,16985,10824,30075,6354,13118,13502,33189,28993,95565,107124,38949,59021,37692,9784,5475,42.2,43.0
"2011","NP - Newport","NP - Newport","Total",488368,28825,16387,10544,30226,6234,13452,12303,29949,28514,92434,99005,32370,47285,29327,7680,3833,40.5,41.0
"2011","SA - Swansea","SA - Swansea","Total",730232,39976,22971,14934,41630,8753,17851,19562,48367,41679,130545,148080,51191,76528,48789,12851,6525,41.6,42.0
